Wyszukiwarka Google – zainteresowania: praca
Polska; 2004 – dziś

Zainteresowanie w ujęciu czasowym
Tydzień,praca
2006-06-04 - 2006-06-10,+24%,+26%
2006-06-11 - 2006-06-17,+19%,+36%
2006-06-18 - 2006-06-24,+37%,+57%
2006-06-25 - 2006-07-01,+41%,+77%
2006-07-02 - 2006-07-08,+37%,+64%
2006-07-09 - 2006-07-15,+31%,+40%
2006-07-16 - 2006-07-22,+40%,+66%
2006-07-23 - 2006-07-29,+25%,+34%
2006-07-30 - 2006-08-05,+29%,+36%
2006-08-06 - 2006-08-12,+29%,+43%
2006-08-13 - 2006-08-19,+13%,+23%
2006-08-20 - 2006-08-26,+28%,+30%
2006-08-27 - 2006-09-02,+26%,+36%
2006-09-03 - 2006-09-09,+29%,+32%
2006-09-10 - 2006-09-16,+24%,+26%
2006-09-17 - 2006-09-23,+21%,+30%
2006-09-24 - 2006-09-30,+25%,+26%
2006-10-01 - 2006-10-07,+28%,+32%
2006-10-08 - 2006-10-14,+18%,+26%
2006-10-15 - 2006-10-21,+22%,+26%
2006-10-22 - 2006-10-28,+15%,+19%
2006-10-29 - 2006-11-04,+6%,+15%
2006-11-05 - 2006-11-11,+12%,+13%
2006-11-12 - 2006-11-18,+12%,+8%
2006-11-19 - 2006-11-25,+12%,+9%
2006-11-26 - 2006-12-02,+4%,+4%
2006-12-03 - 2006-12-09,+3%,-6%
2006-12-10 - 2006-12-16,-4%,-15%
2006-12-17 - 2006-12-23,-22%,-28%
2006-12-24 - 2006-12-30,-22%,-11%
2006-12-31 - 2007-01-06,+16%,+28%
2007-01-07 - 2007-01-13,+18%,+19%
2007-01-14 - 2007-01-20,+19%,+26%
2007-01-21 - 2007-01-27,+13%,+17%
2007-01-28 - 2007-02-03,+18%,+30%
2007-02-04 - 2007-02-10,+19%,+21%
2007-02-11 - 2007-02-17,+10%,+17%
2007-02-18 - 2007-02-24,+22%,+32%
2007-02-25 - 2007-03-03,+19%,+28%
2007-03-04 - 2007-03-10,+15%,+25%
2007-03-11 - 2007-03-17,+13%,+21%
2007-03-18 - 2007-03-24,+12%,+21%
2007-03-25 - 2007-03-31,+15%,+13%
2007-04-01 - 2007-04-07,-4%,+0%
2007-04-08 - 2007-04-14,+9%,+13%
2007-04-15 - 2007-04-21,+21%,+30%
2007-04-22 - 2007-04-28,+12%,+13%
2007-04-29 - 2007-05-05,+3%,+23%
2007-05-06 - 2007-05-12,+21%,+38%
2007-05-13 - 2007-05-19,+22%,+28%
2007-05-20 - 2007-05-26,+25%,+38%
2007-05-27 - 2007-06-02,+26%,+42%
2007-06-03 - 2007-06-09,+19%,+36%
2007-06-10 - 2007-06-16,+29%,+53%
2007-06-17 - 2007-06-23,+32%,+64%
2007-06-24 - 2007-06-30,+41%,+75%
2007-07-01 - 2007-07-07,+41%,+79%
2007-07-08 - 2007-07-14,+28%,+55%
2007-07-15 - 2007-07-21,+25%,+43%
2007-07-22 - 2007-07-28,+26%,+51%
2007-07-29 - 2007-08-04,+18%,+40%
2007-08-05 - 2007-08-11,+18%,+36%
2007-08-12 - 2007-08-18,+9%,+21%
2007-08-19 - 2007-08-25,+19%,+38%
2007-08-26 - 2007-09-01,+21%,+38%
2007-09-02 - 2007-09-08,+24%,+36%
2007-09-09 - 2007-09-15,+13%,+28%
2007-09-16 - 2007-09-22,+18%,+30%
2007-09-23 - 2007-09-29,+24%,+32%
2007-09-30 - 2007-10-06,+25%,+38%
2007-10-07 - 2007-10-13,+18%,+36%
2007-10-14 - 2007-10-20,+16%,+30%
2007-10-21 - 2007-10-27,+12%,+25%
2007-10-28 - 2007-11-03,-3%,+9%
2007-11-04 - 2007-11-10,+15%,+26%
2007-11-11 - 2007-11-17,+7%,+17%
2007-11-18 - 2007-11-24,+9%,+19%
2007-11-25 - 2007-12-01,+6%,+15%
2007-12-02 - 2007-12-08,-1%,+2%
2007-12-09 - 2007-12-15,-4%,+2%
2007-12-16 - 2007-12-22,-16%,-11%
2007-12-23 - 2007-12-29,-29%,-19%
2007-12-30 - 2008-01-05,+6%,+30%
2008-01-06 - 2008-01-12,+21%,+40%
2008-01-13 - 2008-01-19,+12%,+28%
2008-01-20 - 2008-01-26,+13%,+34%
2008-01-27 - 2008-02-02,+16%,+38%
2008-02-03 - 2008-02-09,+15%,+34%
2008-02-10 - 2008-02-16,+10%,+25%
2008-02-17 - 2008-02-23,+15%,+32%
2008-02-24 - 2008-03-01,+16%,+32%
2008-03-02 - 2008-03-08,+16%,+26%
2008-03-09 - 2008-03-15,+7%,+17%
2008-03-16 - 2008-03-22,-6%,+6%
2008-03-23 - 2008-03-29,+3%,+15%
2008-03-30 - 2008-04-05,+12%,+25%
2008-04-06 - 2008-04-12,+10%,+19%
2008-04-13 - 2008-04-19,+10%,+15%
2008-04-20 - 2008-04-26,+9%,+15%
2008-04-27 - 2008-05-03,-6%,+2%
2008-05-04 - 2008-05-10,+10%,+26%
2008-05-11 - 2008-05-17,+13%,+19%
2008-05-18 - 2008-05-24,+4%,+21%
2008-05-25 - 2008-05-31,+16%,+36%
2008-06-01 - 2008-06-07,+19%,+40%
2008-06-08 - 2008-06-14,+19%,+38%
2008-06-15 - 2008-06-21,+22%,+58%
2008-06-22 - 2008-06-28,+29%,+66%
2008-06-29 - 2008-07-05,+34%,+72%
2008-07-06 - 2008-07-12,+22%,+60%
2008-07-13 - 2008-07-19,+19%,+51%
2008-07-20 - 2008-07-26,+18%,+43%
2008-07-27 - 2008-08-02,+13%,+30%
2008-08-03 - 2008-08-09,+15%,+38%
2008-08-10 - 2008-08-16,+1%,+21%
2008-08-17 - 2008-08-23,+13%,+34%
2008-08-24 - 2008-08-30,+24%,+45%
2008-08-31 - 2008-09-06,+29%,+49%
2008-09-07 - 2008-09-13,+18%,+32%
2008-09-14 - 2008-09-20,+22%,+40%
2008-09-21 - 2008-09-27,+18%,+38%
2008-09-28 - 2008-10-04,+28%,+51%
2008-10-05 - 2008-10-11,+21%,+42%
2008-10-12 - 2008-10-18,+22%,+49%
2008-10-19 - 2008-10-25,+19%,+42%
2008-10-26 - 2008-11-01,+16%,+40%
2008-11-02 - 2008-11-08,+16%,+32%
2008-11-09 - 2008-11-15,+4%,+23%
2008-11-16 - 2008-11-22,+15%,+36%
2008-11-23 - 2008-11-29,+12%,+36%
2008-11-30 - 2008-12-06,+7%,+28%
2008-12-07 - 2008-12-13,+6%,+19%
2008-12-14 - 2008-12-20,-6%,+8%
2008-12-21 - 2008-12-27,-41%,-38%
2008-12-28 - 2009-01-03,-13%,+4%
2009-01-04 - 2009-01-10,+31%,+68%
2009-01-11 - 2009-01-17,+29%,+62%
2009-01-18 - 2009-01-24,+26%,+60%
2009-01-25 - 2009-01-31,+25%,+60%
2009-02-01 - 2009-02-07,+28%,+60%
2009-02-08 - 2009-02-14,+25%,+55%
2009-02-15 - 2009-02-21,+28%,+68%
2009-02-22 - 2009-02-28,+31%,+72%
2009-03-01 - 2009-03-07,+34%,+66%
2009-03-08 - 2009-03-14,+26%,+57%
2009-03-15 - 2009-03-21,+26%,+55%
2009-03-22 - 2009-03-28,+22%,+53%
2009-03-29 - 2009-04-04,+26%,+53%
2009-04-05 - 2009-04-11,+4%,+30%
2009-04-12 - 2009-04-18,+12%,+42%
2009-04-19 - 2009-04-25,+24%,+47%
2009-04-26 - 2009-05-02,+13%,+36%
2009-05-03 - 2009-05-09,+22%,+51%
2009-05-10 - 2009-05-16,+24%,+51%
2009-05-17 - 2009-05-23,+22%,+53%
2009-05-24 - 2009-05-30,+25%,+62%
2009-05-31 - 2009-06-06,+26%,+64%
2009-06-07 - 2009-06-13,+16%,+55%
2009-06-14 - 2009-06-20,+31%,+81%
2009-06-21 - 2009-06-27,+35%,+87%
2009-06-28 - 2009-07-04,+35%,+89%
2009-07-05 - 2009-07-11,+31%,+81%
2009-07-12 - 2009-07-18,+31%,+70%
2009-07-19 - 2009-07-25,+25%,+68%
2009-07-26 - 2009-08-01,+25%,+62%
2009-08-02 - 2009-08-08,+24%,+64%
2009-08-09 - 2009-08-15,+19%,+49%
2009-08-16 - 2009-08-22,+22%,+60%
2009-08-23 - 2009-08-29,+25%,+58%
2009-08-30 - 2009-09-05,+35%,+68%
2009-09-06 - 2009-09-12,+31%,+66%
2009-09-13 - 2009-09-19,+28%,+64%
2009-09-20 - 2009-09-26,+28%,+60%
2009-09-27 - 2009-10-03,+28%,+60%
2009-10-04 - 2009-10-10,+29%,+66%
2009-10-11 - 2009-10-17,+25%,+60%
2009-10-18 - 2009-10-24,+24%,+60%
2009-10-25 - 2009-10-31,+16%,+49%
2009-11-01 - 2009-11-07,+24%,+62%
2009-11-08 - 2009-11-14,+13%,+47%
2009-11-15 - 2009-11-21,+19%,+51%
2009-11-22 - 2009-11-28,+15%,+43%
2009-11-29 - 2009-12-05,+10%,+34%
2009-12-06 - 2009-12-12,+3%,+25%
2009-12-13 - 2009-12-19,-4%,+8%
2009-12-20 - 2009-12-26,-32%,-30%
2009-12-27 - 2010-01-02,-16%,+4%
2010-01-03 - 2010-01-09,+29%,+72%
2010-01-10 - 2010-01-16,+26%,+57%
2010-01-17 - 2010-01-23,+22%,+55%
2010-01-24 - 2010-01-30,+19%,+53%
2010-01-31 - 2010-02-06,+25%,+53%
2010-02-07 - 2010-02-13,+22%,+55%
2010-02-14 - 2010-02-20,+21%,+53%
2010-02-21 - 2010-02-27,+21%,+55%
2010-02-28 - 2010-03-06,+25%,+53%
2010-03-07 - 2010-03-13,+21%,+47%
2010-03-14 - 2010-03-20,+22%,+51%
2010-03-21 - 2010-03-27,+16%,+42%
2010-03-28 - 2010-04-03,+0%,+19%
2010-04-04 - 2010-04-10,+6%,+30%
2010-04-11 - 2010-04-17,+7%,+21%
2010-04-18 - 2010-04-24,+10%,+36%
2010-04-25 - 2010-05-01,+9%,+26%
2010-05-02 - 2010-05-08,+6%,+28%
2010-05-09 - 2010-05-15,+16%,+38%
2010-05-16 - 2010-05-22,+15%,+34%
2010-05-23 - 2010-05-29,+18%,+36%
2010-05-30 - 2010-06-05,+9%,+28%
2010-06-06 - 2010-06-12,+18%,+40%
2010-06-13 - 2010-06-19,+18%,+45%
2010-06-20 - 2010-06-26,+19%,+57%
2010-06-27 - 2010-07-03,+24%,+58%
2010-07-04 - 2010-07-10,+21%,+51%
2010-07-11 - 2010-07-17,+13%,+32%
2010-07-18 - 2010-07-24,+15%,+42%
2010-07-25 - 2010-07-31,+13%,+34%
2010-08-01 - 2010-08-07,+13%,+36%
2010-08-08 - 2010-08-14,+6%,+26%
2010-08-15 - 2010-08-21,+12%,+28%
2010-08-22 - 2010-08-28,+13%,+38%
2010-08-29 - 2010-09-04,+19%,+38%
2010-09-05 - 2010-09-11,+16%,+30%
2010-09-12 - 2010-09-18,+6%,+15%
2010-09-19 - 2010-09-25,+9%,+17%
2010-09-26 - 2010-10-02,+13%,+25%
2010-10-03 - 2010-10-09,+16%,+25%
2010-10-10 - 2010-10-16,+9%,+17%
2010-10-17 - 2010-10-23,+6%,+15%
2010-10-24 - 2010-10-30,+3%,+8%
2010-10-31 - 2010-11-06,-1%,+11%
2010-11-07 - 2010-11-13,-1%,+6%
2010-11-14 - 2010-11-20,+3%,+11%
2010-11-21 - 2010-11-27,+1%,+6%
2010-11-28 - 2010-12-04,-7%,-6%
2010-12-05 - 2010-12-11,-4%,-4%
2010-12-12 - 2010-12-18,-15%,-11%
2010-12-19 - 2010-12-25,-28%,-38%
2010-12-26 - 2011-01-01,-21%,-21%
2011-01-02 - 2011-01-08,+18%,+47%
2011-01-09 - 2011-01-15,+25%,+49%
2011-01-16 - 2011-01-22,+18%,+43%
2011-01-23 - 2011-01-29,+21%,+45%
2011-01-30 - 2011-02-05,+22%,+47%
2011-02-06 - 2011-02-12,+22%,+43%
2011-02-13 - 2011-02-19,+22%,+49%
2011-02-20 - 2011-02-26,+24%,+51%
2011-02-27 - 2011-03-05,+26%,+51%
2011-03-06 - 2011-03-12,+21%,+36%
2011-03-13 - 2011-03-19,+22%,+43%
2011-03-20 - 2011-03-26,+21%,+42%
2011-03-27 - 2011-04-02,+22%,+45%
2011-04-03 - 2011-04-09,+19%,+38%
2011-04-10 - 2011-04-16,+19%,+36%
2011-04-17 - 2011-04-23,+4%,+15%
2011-04-24 - 2011-04-30,+4%,+21%
2011-05-01 - 2011-05-07,+6%,+23%
2011-05-08 - 2011-05-14,+18%,+36%
2011-05-15 - 2011-05-21,+21%,+32%
2011-05-22 - 2011-05-28,+18%,+36%
2011-05-29 - 2011-06-04,+22%,+42%
2011-06-05 - 2011-06-11,+18%,+38%
2011-06-12 - 2011-06-18,+19%,+42%
2011-06-19 - 2011-06-25,+13%,+45%
2011-06-26 - 2011-07-02,+21%,+51%
2011-07-03 - 2011-07-09,+21%,+51%
2011-07-10 - 2011-07-16,+15%,+38%
2011-07-17 - 2011-07-23,+10%,+32%
2011-07-24 - 2011-07-30,+10%,+34%
2011-07-31 - 2011-08-06,+10%,+30%
2011-08-07 - 2011-08-13,+10%,+25%
2011-08-14 - 2011-08-20,+4%,+21%
2011-08-21 - 2011-08-27,+10%,+26%
2011-08-28 - 2011-09-03,+19%,+34%
2011-09-04 - 2011-09-10,+16%,+32%
2011-09-11 - 2011-09-17,+16%,+28%
2011-09-18 - 2011-09-24,+13%,+30%
2011-09-25 - 2011-10-01,+18%,+25%
2011-10-02 - 2011-10-08,+19%,+36%
2011-10-09 - 2011-10-15,+10%,+28%
2011-10-16 - 2011-10-22,+12%,+25%
2011-10-23 - 2011-10-29,+9%,+19%
2011-10-30 - 2011-11-05,+0%,+15%
2011-11-06 - 2011-11-12,+4%,+21%
2011-11-13 - 2011-11-19,+9%,+30%
2011-11-20 - 2011-11-26,+4%,+25%
2011-11-27 - 2011-12-03,+4%,+19%
2011-12-04 - 2011-12-10,+3%,+13%
2011-12-11 - 2011-12-17,-3%,+4%
2011-12-18 - 2011-12-24,-21%,-19%
2011-12-25 - 2011-12-31,-18%,-8%
2012-01-01 - 2012-01-07,+9%,+28%
2012-01-08 - 2012-01-14,+19%,+43%
2012-01-15 - 2012-01-21,+19%,+38%
2012-01-22 - 2012-01-28,+13%,+30%
2012-01-29 - 2012-02-04,+13%,+32%
2012-02-05 - 2012-02-11,+15%,+36%
2012-02-12 - 2012-02-18,+15%,+26%
2012-02-19 - 2012-02-25,+18%,+36%
2012-02-26 - 2012-03-03,+18%,+38%
2012-03-04 - 2012-03-10,+18%,+32%
2012-03-11 - 2012-03-17,+16%,+26%
2012-03-18 - 2012-03-24,+16%,+26%
2012-03-25 - 2012-03-31,+9%,+21%
2012-04-01 - 2012-04-07,-3%,+8%
2012-04-08 - 2012-04-14,+4%,+19%
2012-04-15 - 2012-04-21,+12%,+26%
2012-04-22 - 2012-04-28,+9%,+19%
2012-04-29 - 2012-05-05,-13%,-6%
2012-05-06 - 2012-05-12,+10%,+26%
2012-05-13 - 2012-05-19,+12%,+23%
2012-05-20 - 2012-05-26,+13%,+30%
2012-05-27 - 2012-06-02,+13%,+30%
2012-06-03 - 2012-06-09,+1%,+15%
2012-06-10 - 2012-06-16,+12%,+28%
2012-06-17 - 2012-06-23,+10%,+34%
2012-06-24 - 2012-06-30,+19%,+42%
2012-07-01 - 2012-07-07,+18%,+43%
2012-07-08 - 2012-07-14,+15%,+40%
2012-07-15 - 2012-07-21,+12%,+36%
2012-07-22 - 2012-07-28,+6%,+28%
2012-07-29 - 2012-08-04,+6%,+26%
2012-08-05 - 2012-08-11,+4%,+21%
2012-08-12 - 2012-08-18,-3%,+8%
2012-08-19 - 2012-08-25,+6%,+25%
2012-08-26 - 2012-09-01,+9%,+26%
2012-09-02 - 2012-09-08,+16%,+30%
2012-09-09 - 2012-09-15,+9%,+19%
2012-09-16 - 2012-09-22,+10%,+21%
2012-09-23 - 2012-09-29,+9%,+17%
2012-09-30 - 2012-10-06,+15%,+26%
2012-10-07 - 2012-10-13,+10%,+19%
2012-10-14 - 2012-10-20,+9%,+17%
2012-10-21 - 2012-10-27,+6%,+15%
2012-10-28 - 2012-11-03,-9%,-2%
2012-11-04 - 2012-11-10,+6%,+19%
2012-11-11 - 2012-11-17,+4%,+13%
2012-11-18 - 2012-11-24,+6%,+15%
2012-11-25 - 2012-12-01,-3%,+8%
2012-12-02 - 2012-12-08,-3%,+2%
2012-12-09 - 2012-12-15,-7%,-8%
2012-12-16 - 2012-12-22,-19%,-21%
2012-12-23 - 2012-12-29,-32%,-28%
2012-12-30 - 2013-01-05,-1%,+13%
2013-01-06 - 2013-01-12,+9%,+25%
2013-01-13 - 2013-01-19,+10%,+23%
2013-01-20 - 2013-01-26,+9%,+23%
2013-01-27 - 2013-02-02,+12%,+25%
2013-02-03 - 2013-02-09,+9%,+25%
2013-02-10 - 2013-02-16,+7%,+21%
2013-02-17 - 2013-02-23,+9%,+26%
2013-02-24 - 2013-03-02,+10%,+26%
2013-03-03 - 2013-03-09,+9%,+23%
2013-03-10 - 2013-03-16,+3%,+17%
2013-03-17 - 2013-03-23,+4%,+17%
2013-03-24 - 2013-03-30,-6%,+2%
2013-03-31 - 2013-04-06,-3%,+13%
2013-04-07 - 2013-04-13,+4%,+13%
2013-04-14 - 2013-04-20,+6%,+13%
2013-04-21 - 2013-04-27,+3%,+11%
2013-04-28 - 2013-05-04,-16%,-8%
2013-05-05 - 2013-05-11,+4%,+13%
2013-05-12 - 2013-05-18,+1%,+9%
2013-05-19 - 2013-05-25,+6%,+13%
2013-05-26 - 2013-06-01,+0%,+9%
2013-06-02 - 2013-06-08,+10%,+19%
2013-06-09 - 2013-06-15,+4%,+11%
2013-06-16 - 2013-06-22,+3%,+17%
2013-06-23 - 2013-06-29,+10%,+26%
2013-06-30 - 2013-07-06,+7%,+30%
2013-07-07 - 2013-07-13,+6%,+19%
2013-07-14 - 2013-07-20,+1%,+19%
2013-07-21 - 2013-07-27,-4%,+8%
2013-07-28 - 2013-08-03,-6%,+6%
2013-08-04 - 2013-08-10,-6%,+6%
2013-08-11 - 2013-08-17,-12%,-2%
2013-08-18 - 2013-08-24,-3%,+11%
2013-08-25 - 2013-08-31,-1%,+9%
2013-09-01 - 2013-09-07,+7%,+11%
2013-09-08 - 2013-09-14,+0%,+8%
2013-09-15 - 2013-09-21,+0%,+8%
2013-09-22 - 2013-09-28,+1%,+6%
2013-09-29 - 2013-10-05,+3%,+9%
2013-10-06 - 2013-10-12,+0%,+8%
2013-10-13 - 2013-10-19,-1%,+4%
2013-10-20 - 2013-10-26,+1%,+8%
2013-10-27 - 2013-11-02,-9%,-2%
2013-11-03 - 2013-11-09,+0%,+9%
2013-11-10 - 2013-11-16,-10%,-6%
2013-11-17 - 2013-11-23,-4%,+0%
2013-11-24 - 2013-11-30,-6%,-6%
2013-12-01 - 2013-12-07,-12%,-13%
2013-12-08 - 2013-12-14,-13%,-15%
2013-12-15 - 2013-12-21,-24%,-28%
2013-12-22 - 2013-12-28,-41%,-45%
2013-12-29 - 2014-01-04,-18%,-11%
2014-01-05 - 2014-01-11,+3%,+11%
2014-01-12 - 2014-01-18,+1%,+6%
2014-01-19 - 2014-01-25,+0%,+4%
2014-01-26 - 2014-02-01,+1%,+8%
2014-02-02 - 2014-02-08,+0%,+9%
2014-02-09 - 2014-02-15,+1%,+4%
2014-02-16 - 2014-02-22,+4%,+13%
2014-02-23 - 2014-03-01,+3%,+9%
2014-03-02 - 2014-03-08,-1%,+2%
2014-03-09 - 2014-03-15,-1%,+0%
2014-03-16 - 2014-03-22,-4%,-2%
2014-03-23 - 2014-03-29,-4%,-2%
2014-03-30 - 2014-04-05,-4%,+0%
2014-04-06 - 2014-04-12,-6%,-6%
2014-04-13 - 2014-04-19,-18%,-19%
2014-04-20 - 2014-04-26,-13%,-8%
2014-04-27 - 2014-05-03,-16%,-13%
2014-05-04 - 2014-05-10,-1%,+2%
2014-05-11 - 2014-05-17,-4%,-4%
2014-05-18 - 2014-05-24,-6%,-2%
2014-05-25 - 2014-05-31,-4%,+0%
2014-06-01 - 2014-06-07,+0%,+4%
2014-06-08 - 2014-06-14,-7%,-4%
2014-06-15 - 2014-06-21,-10%,+0%
2014-06-22 - 2014-06-28,-1%,+9%
2014-06-29 - 2014-07-05,-1%,+13%
2014-07-06 - 2014-07-12,-6%,+4%
2014-07-13 - 2014-07-19,-6%,+6%
2014-07-20 - 2014-07-26,-6%,+4%
2014-07-27 - 2014-08-02,-7%,+2%
2014-08-03 - 2014-08-09,-12%,-2%
2014-08-10 - 2014-08-16,-15%,-6%
2014-08-17 - 2014-08-23,-6%,+4%
2014-08-24 - 2014-08-30,-6%,-2%
2014-08-31 - 2014-09-06,-1%,+4%
2014-09-07 - 2014-09-13,-1%,+4%
2014-09-14 - 2014-09-20,-4%,-2%
2014-09-21 - 2014-09-27,-3%,+4%
2014-09-28 - 2014-10-04,+1%,+6%
2014-10-05 - 2014-10-11,-6%,-6%
2014-10-12 - 2014-10-18,-9%,-4%
2014-10-19 - 2014-10-25,-6%,-2%
2014-10-26 - 2014-11-01,-9%,-8%
2014-11-02 - 2014-11-08,-10%,-6%
2014-11-09 - 2014-11-15,-15%,-11%
2014-11-16 - 2014-11-22,-10%,-8%
2014-11-23 - 2014-11-29,-12%,-9%
2014-11-30 - 2014-12-06,-15%,-9%
2014-12-07 - 2014-12-13,-18%,-17%
2014-12-14 - 2014-12-20,-22%,-25%
2014-12-21 - 2014-12-27,-41%,-45%
2014-12-28 - 2015-01-03,-24%,-19%
2015-01-04 - 2015-01-10,-1%,+9%
2015-01-11 - 2015-01-17,+0%,+11%
2015-01-18 - 2015-01-24,-3%,+11%
2015-01-25 - 2015-01-31,+0%,+9%
2015-02-01 - 2015-02-07,-3%,+9%
2015-02-08 - 2015-02-14,-6%,+2%
2015-02-15 - 2015-02-21,-1%,+9%
2015-02-22 - 2015-02-28,-4%,+0%
2015-03-01 - 2015-03-07,-3%,+4%
2015-03-08 - 2015-03-14,-6%,+2%
2015-03-15 - 2015-03-21,-3%,+2%
2015-03-22 - 2015-03-28,-7%,-8%
2015-03-29 - 2015-04-04,-19%,-19%
2015-04-05 - 2015-04-11,-15%,-9%
2015-04-12 - 2015-04-18,-7%,-2%
2015-04-19 - 2015-04-25,-7%,-6%
2015-04-26 - 2015-05-02,-13%,-9%
2015-05-03 - 2015-05-09,-7%,-6%
2015-05-10 - 2015-05-16,-7%,-4%
2015-05-17 - 2015-05-23,-6%,+0%
2015-05-24 - 2015-05-30,-9%,-6%
2015-05-31 - 2015-06-06,-16%,-11%
2015-06-07 - 2015-06-13,-7%,+0%
2015-06-14 - 2015-06-20,-7%,+0%
2015-06-21 - 2015-06-27,-7%,+4%
2015-06-28 - 2015-07-04,+1%,+17%


Najpopularniejsze podregiony dla tematu praca
Podregion,praca
mazowieckie,100
wielkopolskie,87
dolnośląskie,86
lubuskie,86
Województwo łódzkie,83
śląskie,82
kujawsko-pomorskie,80
pomorskie,78
warmińsko-mazurskie,77
świętokrzyskie,77
zachodniopomorskie,74
podlaskie,73
opolskie,72
Województwo małopolskie,71
lubelskie,64
podkarpackie,58


Najpopularniejsze miasta dla tematu praca
Miasto,praca
Warszawa,100
Płock,90
Gorzów Wielkopolski,81
Poznań,81
Wrocław,78
Łódź,71
Kielce,70
Katowice,69
Toruń,68
Zabrze,66
Olsztyn,66
Gdańsk,65
Radom,65
Zielona Góra,64
Kraków,64



Najpopularniejsze wyszukiwania hasła praca
oferty pracy,100
praca warszawa,90
praca gazeta,90
gazeta,85
praca za granica,65
gumtree,60
gumtree praca,60
praca za granicą,55
praca kierowca,50
praca wrocław,50
praca kraków,50
praca poznań,35
praca pl,30
praca łódź,30
praca niemcy,30
olx,30
olx praca,30
gratka praca,25
gratka,25
praca sezonowa,20
praca dodatkowa,20
praca dorywcza,20
praca białystok,20
pracuj.pl,20
praca w niemczech,20
praca kielce,20
pracuj,20
praca szczecin,20
praca na wakacje,20
praca opole,15
info praca,15
olsztyn praca,15
praca holandia,15
praca norwegia,15
praca dla studenta,15
praca toruń,15
praca poznan,15
praca w anglii,15
praca money,15
praca radom,15
praca trójmiasto,15
praca lublin,10
praca gliwice,10
praca płock,10
praca wroclaw,10
gumtree praca warszawa,10
praca bydgoszcz,10
praca koszalin,10
praca anglia,10
tablica.pl,10



Rosnące wyszukiwania hasła praca
gumtree,Przebicie
gumtree praca,Przebicie
olx,Przebicie
praca kierowca,+250%
praca warszawa,+250%
praca niemcy,+200%
praca pl,+200%
praca łódź,+180%
praca gazeta,+160%
gazeta,+140%



